1,Adrian,Peterson,RB,MIN,2.5
2,Jamaal,Charles,RB,KC,2.8
3,Marshawn,Lynch,RB,SEA,2.9
4,Eddie,Lacy,RB,GB,3.4
5,Le'Veon,Bell,RB,PIT,5.7
6,Antonio,Brown,WR,PIT,6.4
7,Dez,Bryant,WR,DAL,8.3
8,Rob,Gronkowski,TE,NE,8.5
9,Odell,Beckham Jr.,WR,NYG,9.9
10,Demaryius,Thomas,WR,DEN,11.5
11,DeMarco,Murray,RB,PHI,13.4
12,Andrew,Luck,QB,IND,13.6
13,Julio,Jones,WR,ATL,13.7
14,Jeremy,Hill,RB,CIN,13.7
15,Matt,Forte,RB,CHI,15.7
16,Calvin,Johnson,WR,DET,15.8
17,C.J.,Anderson,RB,DEN,16.1
18,Aaron,Rodgers,QB,GB,16.2
19,Jordy,Nelson,WR,GB,20.5
20,LeSean,McCoy,RB,BUF,20.9
21,A.J.,Green,WR,CIN,21.0
22,Randall,Cobb,WR,GB,22.7
23,Alshon,Jeffery,WR,CHI,23.9
24,Justin,Forsett,RB,BAL,24.5
25,T.Y.,Hilton,WR,IND,27.1
26,Mike,Evans,WR,TB,27.5
27,Jimmy,Graham,TE,SEA,30.9
28,Russell,Wilson,QB,SEA,31.0
29,Frank,Gore,RB,IND,32.3
30,DeAndre,Hopkins,WR,HOU,32.4
31,Melvin,Gordon,RB,SD,34.6
32,Brandin,Cooks,WR,NO,34.7
33,Drew,Brees,QB,NO,35.5
34,Jordan,Matthews,WR,PHI,35.6
35,Emmanuel,Sanders,WR,DEN,36.8
36,Kelvin,Benjamin,WR,CAR,37.6
37,Peyton,Manning,QB,DEN,38.1
38,Mark,Ingram,RB,NO,38.3
39,Lamar,Miller,RB,MIA,38.7
40,Andre,Johnson,WR,IND,39.1
41,Latavius,Murray,RB,OAK,41.7
42,Ben,Roethlisberger,QB,PIT,42.9
43,Alfred,Morris,RB,WAS,45.6
44,Greg,Olsen,TE,CAR,46.5
45,Travis,Kelce,TE,KC,48.2
46,DeSean,Jackson,WR,WAS,48.8
47,Brandon,Marshall,WR,NYJ,50.5
48,Golden,Tate,WR,DET,50.8
49,Amari,Cooper,WR,OAK,53.4
50,Carlos,Hyde,RB,SF,53.5
51,Tony,Romo,QB,DAL,54.6
52,Julian,Edelman,WR,NE,54.9
53,Keenan,Allen,WR,SD,55.9
54,Joseph,Randle,RB,DAL,56.0
55,Matt,Ryan,QB,ATL,56.3
56,Andre,Ellington,RB,ARI,58.9
